CustomerID,Age,Gender,City,Income,SpendingScore,YearsExperience,Department,EducationLevel,HasLoan,CreditScore,Target_Bought,Target_Salary
1,25,Male,Mumbai,40000,60,2,Sales,Bachelor,No,650,1,35000
2,45,Female,Delhi,80000,40,15,HR,Master,Yes,720,0,78000
3,35,Male,Bangalore,60000,70,10,IT,Bachelor,No,690,1,62000
4,29,Female,Chennai,,85,5,Marketing,Bachelor,No,710,1,48000
5,52,Male,Delhi,120000,NaN,25,Management,PhD,Yes,800,0,130000
6,23,Female,Mumbai,35000,95,1,Sales,Bachelor,No,620,1,30000
7,NaN,Male,Bangalore,75000,,12,IT,Master,Yes,730,0,82000
8,31,Female,Chennai,54000,65,7,Marketing,Master,No,680,1,56000
9,28,Male,Mumbai,48000,75,4,Sales,Bachelor,No,,1,45000
10,50,Female,Delhi,110000,20,22,Management,PhD,Yes,790,0,120000
11,37,Male,Bangalore,67000,NaN,11,IT,Master,No,710,1,70000
12,NaN,Female,Chennai,42000,88,3,Marketing,Bachelor,No,640,1,39000
13,48,Male,Delhi,95000,35,20,HR,Master,Yes,750,0,100000
14,33,Female,Mumbai,58000,72,8,Sales,Master,No,695,1,60000
15,55,Male,Bangalore,130000,15,30,Management,PhD,Yes,820,0,140000
16,27,Female,Delhi,46000,80,4,Marketing,Bachelor,No,660,1,43000
17,42,Male,Chennai,72000,NaN,14,IT,Master,Yes,725,0,76000
18,30,Female,Mumbai,51000,68,6,Sales,Bachelor,No,690,1,52000
19,39,Male,Bangalore,70000,58,13,IT,Master,Yes,705,0,73000
20,24,Female,Chennai,39000,92,2,Marketing,Bachelor,No,630,1,36000
